product_id,product_name,category_id
1001,Stylish Jacket,3
1002,Soft Sweater,3
1003,Glowing Shampoo,8
1004,Luxury Armchair,2
1005,Innovative Projector,1
1006,Efficient Oven,7
1007,Fun Robot,4
1008,High-tech Phone,1
1009,Interactive Puzzle,4
1010,Adventurous Self-help,5
1011,Adventure Bicycle,4
1012,Glowing Lipstick,8
1013,Glowing Lipstick,8
1014,Inspirational Poetry,5
1015,Comfortable Sofa,2
1016,Smooth Lipstick,8
1017,Convenient Dishwasher,7
1018,Portable Shuttlecock,6
1019,Cozy Bed,2
1020,Smart Camera,1
1021,Romantic Comic,5
1022,Modern Couch,2
1023,Efficient Toaster,7
1024,Trendy T-shirt,3
1025,Portable Dishwasher,7
1026,Heavy-duty Racket,6
1027,Revitalizing Serum,8
1028,Ergonomic Shuttlecock,6
1029,Romantic Novel,5
1030,Flexible Helmet,6
1031,Convenient Oven,7
1032,Interactive Doll,4
1033,Cotton Jeans,3
1034,Flexible Bicycle,6
1035,Luxury Table,2
1036,Thrilling Comic,5
1037,Portable Toaster,7
1038,Mystery Poetry,5
1039,Revitalizing Face Mask,8
1040,Smart Washing Machine,7
1041,Leather Couch,2
1042,High-tech Smartwatch,1
1043,Flexible Gloves,6
1044,Flexible Racket,6
1045,Chic Jeans,3
1046,Luxurious Shampoo,8
1047,Luxury Chair,2
1048,Durable Phone,1
1049,Smart Vacuum,7
1050,Fantasy Self-help,5
1051,Durable Racket,6
1052,Interactive Ball,4
1053,Colorful Doll,4
1054,Comfortable Cleats,6
1055,Compact Microwave,7
1056,Convenient Blender,7
1057,Cozy Chair,2
1058,Luxury Desk,2
1059,Organic Cream,8
1060,Soft Shirt,3
1061,Hydrating Cream,8
1062,Mystery Comic,5
1063,Fantasy Cookbook,5
1064,Convenient Toaster,7
1065,Convenient Washing Machine,7
1066,Chic Jeans,3
1067,Leather Table,2
1068,Portable Projector,1
1069,Comfortable Pants,3
1070,Glowing Perfume,8
1071,Innovative Camera,1
1072,Stylish Couch,2
1073,Smooth Lipstick,8
1074,Gentle Mascara,8
1075,Durable Cleats,6
1076,Convenient Microwave,7
1077,Organic Perfume,8
1078,Comfortable Couch,2
1079,Adventure Doll,4
1080,Cozy Couch,2
1081,Non-fiction Poetry,5
1082,Durable Phone,1
1083,Adventurous Biography,5
1084,Non-fiction Self-help,5
1085,Educational Bicycle,4
1086,Luxury Armchair,2
1087,Luxurious Perfume,8
1088,Organic Perfume,8
1089,Modern Oven,7
1090,Adventure Robot,4
1091,Wooden Sofa,2
1092,Convenient Toaster,7
1093,Comfortable Table,2
1094,Lightweight Water Bottle,6
1095,Smart Speaker,1
1096,Portable Ball,6
1097,Glowing Cream,8
1098,Smooth Lipstick,8
1099,High-tech Earbuds,1
1100,Inspirational Guide,5
